,state,Positive,Negative
0,Utah,0.22808320950965824,0.9115898959881129
1,Hawaii,0.2446601941747573,0.912621359223301
2,Minnesota,0.24180127263827705,0.8872573013542177
3,Ohio,0.26532515991471217,0.8905916844349681
4,Arkansas,0.30814814814814817,0.917037037037037
5,Oregon,0.24013840830449826,0.9079584775086506
6,Texas,0.2669253988788271,0.8949439413540319
7,North Dakota,0.27741935483870966,0.8903225806451613
8,Pennsylvania,0.26625868685820975,0.8899491753967431
9,Connecticut,0.25785482123510295,0.894907908992416
10,Nebraska,0.270878721859114,0.90559186637618
11,Vermont,0.22120866590649943,0.8996579247434435
12,Nevada,0.2595291479820628,0.8946188340807175
13,Washington,0.2526299011794708,0.8995855913292955
14,Illinois,0.2556630341618709,0.9016774825517326
15,Oklahoma,0.24483306836248012,0.8966613672496025
16,Delaware,0.3055555555555556,0.8833333333333333
17,Alaska,0.24882629107981222,0.8998435054773083
18,New Mexico,0.24874791318864775,0.9165275459098498
19,West Virginia,0.27177700348432055,0.8658536585365854
20,Missouri,0.24664955802680352,0.9144568006843456
21,Rhode Island,0.2806818181818182,0.9
22,Georgia,0.2511316669946861,0.8787640228301515
23,Montana,0.28350515463917525,0.8981958762886598
24,Michigan,0.2504041383769803,0.8965405754930488
25,Virginia,0.2525573192239859,0.8982363315696649
26,North Carolina,0.2512741312741313,0.8911196911196911
27,Wyoming,0.2874251497005988,0.8353293413173652
28,Kansas,0.24214517876489708,0.8911159263271939
29,New Jersey,0.27412655753725873,0.8997068165160029
30,Maryland,0.24915650142745913,0.9026732416298988
31,Alabama,0.2451467268623025,0.9088036117381489
32,Arizona,0.25636456211812625,0.8956211812627292
33,Iowa,0.24310064935064934,0.8952922077922078
34,Massachusetts,0.2567143830947512,0.8997955010224948
35,Kentucky,0.2764495740588074,0.8980489145369607
36,Louisiana,0.25422535211267605,0.9007042253521127
37,Mississippi,0.24971363115693013,0.9129438717067583
38,New Hampshire,0.22845417236662108,0.8850889192886456
39,Tennessee,0.24268415741675076,0.9106962663975782
40,Florida,0.2650231124807396,0.8951133612150561
41,Indiana,0.23945533045499834,0.9123214878777814
42,Idaho,0.23709369024856597,0.9139579349904398
43,South Carolina,0.24086021505376345,0.9059139784946236
44,South Dakota,0.25357142857142856,0.8892857142857142
45,California,0.2590901208162322,0.8969882652176426
46,New York,0.25560058538781943,0.9052684903748733
47,Wisconsin,0.23414503612523416,0.9122290607439122
48,Colorado,0.25104903488790314,0.903848459417336
49,Maine,0.26461538461538464,0.9046153846153846
